term,coef
worst,-10.58674516315675
bad,-8.358731767484798
awful,-8.25753038865978
waste,-7.8771610061234485
boring,-6.898720461813416
poor,-6.439818705692192
terrible,-6.08763126464689
worse,-5.410115606361626
horrible,-5.352758526325649
poorly,-5.104315721965179
dull,-5.0801406285081985
fails,-4.84172470592701
disappointment,-4.690958294413632
annoying,-4.47858093186294
instead,-4.459752619260143
supposed,-4.408609795143908
lame,-4.387600512568961
save,-4.374611077155258
minutes,-4.294506360982811
disappointing,-4.249156822339472
